Timestamp Start,Open,High,Low,Close,Volume,Timestamp End,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-10-29,195.37,205.22,194.45,200.41,2484214.02,2021-10-29 23:59:59.999,497606675.4685,812602,1237793.44,247988602.5447,0
2021-10-30,200.36,200.62,187.3,195.7,1609573.37,2021-10-30 23:59:59.999,313557872.6871,543081,754575.71,147037648.4641,0
2021-10-31,195.69,205.0,185.31,202.49,2375757.35,2021-10-31 23:59:59.999,463132484.4958,938513,1226421.93,239264783.8739,0
2021-11-01,202.53,211.66,197.7,203.9,3150076.28,2021-11-01 23:59:59.999,645166048.7765,1314713,1602892.3,328554604.9247,0
2021-11-02,203.91,222.22,200.97,220.82,2876704.542,2021-11-02 23:59:59.999,605529841.3593,1341741,1550569.632,326762328.6853,0
2021-11-03,220.81,247.0,215.69,243.37,5253716.352,2021-11-03 23:59:59.999,1212857714.678528,2883050,2721433.915,628783347.150578,0
2021-11-04,243.37,250.5,234.0,247.07,3552648.58,2021-11-04 23:59:59.999,859506826.42668,1645008,1797071.65,435184581.41998,0
2021-11-05,247.06,248.84,230.34,236.06,2233800.23,2021-11-05 23:59:59.999,532866847.4735,900681,1070780.29,255445411.1631,0
2021-11-06,236.04,259.9,234.79,258.44,3046062.46,2021-11-06 23:59:59.999,753428880.694,1587133,1563351.45,387184415.4896,0
2021-11-07,258.41,258.66,245.65,249.68,1923092.87,2021-11-07 23:59:59.999,484918560.7454,744519,903116.7,227809447.0628,0
2021-11-08,249.62,253.3,240.68,248.26,2301351.76,2021-11-08 23:59:59.999,566280886.1995,823230,1027044.01,252851016.7606,0
2021-11-09,248.27,253.22,237.62,239.04,2217088.06,2021-11-09 23:59:59.999,541627505.4756,800356,943235.51,230490912.6608,0
2021-11-10,239.06,248.0,217.5,233.09,3092477.23,2021-11-10 23:59:59.999,731537386.827,1103380,1431310.57,338836239.2706,0
2021-11-11,233.06,246.5,229.4,233.37,1997993.9,2021-11-11 23:59:59.999,478333948.479,945124,990958.85,237392080.9842,0
2021-11-12,233.34,239.09,220.83,228.48,2114721.23,2021-11-12 23:59:59.999,484150570.2329,892715,1027353.36,235295498.1458,0
2021-11-13,228.46,241.97,224.79,241.59,1458387.39,2021-11-13 23:59:59.999,339685082.7887,769225,749007.85,174605343.7565,0
2021-11-14,241.58,242.0,230.4,238.64,1075144.87,2021-11-14 23:59:59.999,253873402.6549,591553,517050.57,122136632.8828,0
2021-11-15,238.63,246.36,234.49,238.2,1921128.24,2021-11-15 23:59:59.999,463075752.6991,818787,962432.01,232019440.4268,0
2021-11-16,238.18,238.21,213.81,219.04,2557623.67,2021-11-16 23:59:59.999,576884837.3003,922036,1198426.22,270267899.6011,0
2021-11-17,219.09,222.44,209.53,218.94,2094790.54,2021-11-17 23:59:59.999,451229368.1312,714591,1071604.85,230870381.319,0
2021-11-18,218.9,222.78,186.5,195.01,3077799.94,2021-11-18 23:59:59.999,624208055.0207,855574,1480026.54,300089751.7404,0
2021-11-19,195.19,219.59,188.99,215.25,2712585.78,2021-11-19 23:59:59.999,559175543.827,854484,1370250.47,282638968.6013,0
2021-11-20,215.25,221.17,205.84,217.63,1560552.25,2021-11-20 23:59:59.999,334473495.7275,549721,786418.67,168617404.8308,0
2021-11-21,217.64,240.0,210.53,230.51,1888280.05,2021-11-21 23:59:59.999,420452594.5684,728927,971042.7,216393028.6506,0
2021-11-22,230.56,231.99,211.6,215.59,2456703.81,2021-11-22 23:59:59.999,541317085.3909,956575,1211190.99,266909076.0161,0
2021-11-23,215.58,226.08,210.91,221.75,1654017.24,2021-11-23 23:59:59.999,360287368.5668,579396,830704.17,181068826.4036,0
2021-11-24,221.76,222.47,200.14,205.7,1878172.55,2021-11-24 23:59:59.999,396608869.9866,578989,914179.3,192854880.6743,0
2021-11-25,205.76,216.35,201.93,209.97,1764837.19,2021-11-25 23:59:59.999,370397490.601,577000,886350.87,186037414.6124,0
2021-11-26,209.94,210.53,182.7,192.42,2776105.44,2021-11-26 23:59:59.999,540229501.1197,810627,1241556.23,241306147.8168,0
2021-11-27,192.37,199.39,190.61,192.74,1028955.27,2021-11-27 23:59:59.999,201451693.2264,367238,500367.73,97998067.234,0
2021-11-28,192.74,202.1,180.93,200.69,1560980.85,2021-11-28 23:59:59.999,297730465.4787,474798,789804.92,150720533.7911,0
2021-11-29,200.71,212.75,199.63,204.09,1458763.57,2021-11-29 23:59:59.999,299901553.1901,545238,750271.35,154313710.9811,0
2021-11-30,204.1,218.28,199.55,208.53,2176734.39,2021-11-30 23:59:59.999,457195214.4479,733363,1041381.37,218887231.0803,0
2021-12-01,208.52,232.63,207.89,229.81,2589478.23,2021-12-01 23:59:59.999,577828638.8561,1057522,1298618.1,289619254.4841,0
2021-12-02,229.81,243.12,220.0,233.6,3042712.67,2021-12-02 23:59:59.999,700072045.5843,1248113,1495100.37,344340049.3944,0
2021-12-03,233.59,239.37,204.68,211.65,2867134.41,2021-12-03 23:59:59.999,641504675.3806,1049117,1397335.68,312684496.4548,0
